"OreDict Key","Registry name","Meta/dmg","Display name","NBT"
"blockCarobbiite","jaopca:block.carobbiite",0,"Block of Carobbiite",""
"blockCharcoal","chisel:block_charcoal",0,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",1,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",2,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",3,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",4,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",5,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",6,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",7,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",8,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",9,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",10,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",11,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",12,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",13,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",14,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal",15,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",0,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",1,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",2,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",3,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",4,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",5,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",6,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",7,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",8,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",9,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",10,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",11,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",12,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",13,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",14,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal1",15,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal2",0,"Block of Charcoal",""
"blockCharcoal","chisel:block_charcoal2",1,"Block of Charcoal",""
"blockCharcoal","mekanism:basicblock",3,"Charcoal Block",""
"blockChest","minecraft:chest",0,"Chest",""
"blockChrome","jaopca:block.chromium",0,"Block of Chromium",""
"blockChrome","techreborn:storage",3,"Block of Chrome",""
"blockChromium","jaopca:block.chromium",0,"Block of Chromium",""
"blockCoal","chisel:block_coal",0,"Block of Coal",""
"blockCoal","chisel:block_coal",1,"Block of Coal",""
"blockCoal","chisel:block_coal",2,"Block of Coal",""
"blockCoal","chisel:block_coal",3,"Block of Coal",""
"blockCoal","chisel:block_coal",4,"Block of Coal",""
"blockCoal","chisel:block_coal",5,"Block of Coal",""
"blockCoal","chisel:block_coal",6,"Block of Coal",""
"blockCoal","chisel:block_coal",7,"Block of Coal",""
"blockCoal","chisel:block_coal",8,"Block of Coal",""
"blockCoal","chisel:block_coal",9,"Block of Coal",""
"blockCoal","chisel:block_coal",10,"Block of Coal",""
"blockCoal","chisel:block_coal",11,"Block of Coal",""
"blockCoal","chisel:block_coal",12,"Block of Coal",""
"blockCoal","chisel:block_coal",13,"Block of Coal",""
"blockCoal","chisel:block_coal",14,"Block of Coal",""
"blockCoal","chisel:block_coal",15,"Block of Coal",""
"blockCoal","chisel:block_coal1",0,"Block of Coal",""
"blockCoal","chisel:block_coal1",1,"Block of Coal",""
"blockCoal","chisel:block_coal1",2,"Block of Coal",""
"blockCoal","chisel:block_coal1",3,"Block of Coal",""
"blockCoal","chisel:block_coal1",4,"Block of Coal",""
"blockCoal","chisel:block_coal1",5,"Block of Coal",""
"blockCoal","chisel:block_coal1",6,"Block of Coal",""
"blockCoal","chisel:block_coal1",7,"Block of Coal",""
"blockCoal","chisel:block_coal1",8,"Block of Coal",""
"blockCoal","chisel:block_coal1",9,"Block of Coal",""
"blockCoal","chisel:block_coal1",10,"Block of Coal",""
"blockCoal","chisel:block_coal1",11,"Block of Coal",""
"blockCoal","chisel:block_coal1",12,"Block of Coal",""
"blockCoal","chisel:block_coal1",13,"Block of Coal",""
"blockCoal","chisel:block_coal1",14,"Block of Coal",""
"blockCoal","chisel:block_coal1",15,"Block of Coal",""
"blockCoal","chisel:block_coal2",0,"Block of Coal",""
"blockCoal","chisel:block_coal2",1,"Block of Coal",""
"blockCoal","minecraft:coal_block",0,"Block of Coal",""
"blockCobalt","chisel:blockcobalt",0,"Block of Cobalt",""
"blockCobalt","chisel:blockcobalt",1,"Block of Cobalt",""
"blockCobalt","chisel:blockcobalt",2,"Block of Cobalt",""
"blockCobalt","chisel:blockcobalt",3,"Block of Cobalt",""
"blockCobalt","chisel:blockcobalt",4,"Block of Cobalt",""
"blockCobalt","chisel:blockcobalt",5,"Block of Cobalt",""
"blockCobalt","chisel:blockcobalt",6,"Block of Cobalt",""
"blockCobalt","magneticraft:storage_blocks",2,"Cobalt Block",""
"blockConcrete","chisel:concrete_black",0,"Black Concrete",""
"blockConcrete","chisel:concrete_black",1,"Black Concrete",""
"blockConcrete","chisel:concrete_black",2,"Black Concrete",""
"blockConcrete","chisel:concrete_black",3,"Black Concrete",""
"blockConcrete","chisel:concrete_black",4,"Black Concrete",""
"blockConcrete","chisel:concrete_black",5,"Black Concrete",""
"blockConcrete","chisel:concrete_black",6,"Black Concrete",""
"blockConcrete","chisel:concrete_black",7,"Black Concrete",""
"blockConcrete","chisel:concrete_black",8,"Black Concrete",""
"blockConcrete","chisel:concrete_black",9,"Black Concrete",""
"blockConcrete","chisel:concrete_black",10,"Black Concrete",""
"blockConcrete","chisel:concrete_black",11,"Black Concrete",""
"blockConcrete","chisel:concrete_black",12,"Black Concrete",""
"blockConcrete","chisel:concrete_black",13,"Black Concrete",""
"blockConcrete","chisel:concrete_black",14,"Black Concrete",""
"blockConcrete","chisel:concrete_black",15,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",0,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",1,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",2,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",3,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",4,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",5,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",6,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",7,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",8,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",9,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",10,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",11,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",12,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",13,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",14,"Black Concrete",""
"blockConcrete","chisel:concrete_black1",15,"Black Concrete",""
"blockConcrete","chisel:concrete_black2",0,"Black Concrete",""
"blockConcrete","chisel:concrete_blue",0,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",1,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",2,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",3,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",4,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",5,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",6,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",7,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",8,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",9,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",10,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",11,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",12,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",13,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",14,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue",15,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",0,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",1,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",2,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",3,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",4,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",5,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",6,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",7,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",8,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",9,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",10,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",11,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",12,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",13,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",14,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue1",15,"Blue Concrete",""
"blockConcrete","chisel:concrete_blue2",0,"Blue Concrete",""
"blockConcrete","chisel:concrete_brown",0,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",1,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",2,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",3,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",4,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",5,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",6,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",7,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",8,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",9,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",10,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",11,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",12,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",13,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",14,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown",15,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",0,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",1,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",2,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",3,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",4,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",5,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",6,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",7,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",8,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",9,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",10,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",11,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",12,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",13,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",14,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown1",15,"Brown Concrete",""
"blockConcrete","chisel:concrete_brown2",0,"Brown Concrete",""
"blockConcrete","chisel:concrete_cyan",0,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",1,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",2,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",3,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",4,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",5,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",6,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",7,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",8,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",9,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",10,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",11,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",12,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",13,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",14,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan",15,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",0,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",1,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",2,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",3,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",4,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",5,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",6,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",7,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",8,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",9,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",10,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",11,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",12,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",13,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",14,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan1",15,"Cyan Concrete",""
"blockConcrete","chisel:concrete_cyan2",0,"Cyan Concrete",""
"blockConcrete","chisel:concrete_gray",0,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",1,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",2,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",3,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",4,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",5,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",6,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",7,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",8,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",9,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",10,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",11,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",12,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",13,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",14,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray",15,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",0,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",1,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",2,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",3,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",4,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",5,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",6,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",7,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",8,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",9,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",10,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",11,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",12,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",13,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",14,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray1",15,"Gray Concrete",""
"blockConcrete","chisel:concrete_gray2",0,"Gray Concrete",""
"blockConcrete","chisel:concrete_green",0,"Green Concrete",""
"blockConcrete","chisel:concrete_green",1,"Green Concrete",""
"blockConcrete","chisel:concrete_green",2,"Green Concrete",""
"blockConcrete","chisel:concrete_green",3,"Green Concrete",""
"blockConcrete","chisel:concrete_green",4,"Green Concrete",""
"blockConcrete","chisel:concrete_green",5,"Green Concrete",""
"blockConcrete","chisel:concrete_green",6,"Green Concrete",""
"blockConcrete","chisel:concrete_green",7,"Green Concrete",""
"blockConcrete","chisel:concrete_green",8,"Green Concrete",""
"blockConcrete","chisel:concrete_green",9,"Green Concrete",""
"blockConcrete","chisel:concrete_green",10,"Green Concrete",""
"blockConcrete","chisel:concrete_green",11,"Green Concrete",""
"blockConcrete","chisel:concrete_green",12,"Green Concrete",""
"blockConcrete","chisel:concrete_green",13,"Green Concrete",""
"blockConcrete","chisel:concrete_green",14,"Green Concrete",""
"blockConcrete","chisel:concrete_green",15,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",0,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",1,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",2,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",3,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",4,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",5,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",6,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",7,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",8,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",9,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",10,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",11,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",12,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",13,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",14,"Green Concrete",""
"blockConcrete","chisel:concrete_green1",15,"Green Concrete",""
"blockConcrete","chisel:concrete_green2",0,"Green Concrete",""
"blockConcrete","chisel:concrete_lightblue",0,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",1,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",2,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",3,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",4,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",5,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",6,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",7,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",8,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",9,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",10,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",11,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",12,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",13,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",14,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue",15,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",0,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",1,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",2,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",3,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",4,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",5,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",6,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",7,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",8,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",9,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",10,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",11,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",12,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",13,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",14,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue1",15,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightblue2",0,"Light Blue Concrete",""
"blockConcrete","chisel:concrete_lightgray",0,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",1,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",2,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",3,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",4,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",5,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",6,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",7,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",8,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",9,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",10,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",11,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",12,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",13,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",14,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray",15,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",0,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",1,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",2,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",3,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",4,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",5,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",6,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",7,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",8,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",9,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",10,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",11,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",12,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",13,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",14,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray1",15,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lightgray2",0,"Light Gray Concrete",""
"blockConcrete","chisel:concrete_lime",0,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",1,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",2,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",3,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",4,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",5,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",6,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",7,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",8,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",9,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",10,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",11,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",12,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",13,"Lime Concrete",""
"blockConcrete","chisel:concrete_lime",14,"Lime Concrete",""
