+------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------+
| Name                               | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                              |
| calcium_sulfate_solution           |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_calcium_sulfate_solution        |
| californium_249                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| californium_250                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| californium_251                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| californium_252                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| carbon_dioxide                     |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_carbon_dioxide                  |
| carbon_monoxide                    |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_carbon_monoxide                 |
| carbondioxide                      |     -10 |         300 |        40 |          0 | COMMON   |      true | emergingtechnology:carbondioxideblock              |
| carobbiite                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| carobbiite_nak                     |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| carobbiite_nak_hot                 |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| cetane_diesel                      |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:cetane_diesel                       |
| charged_iron                       |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenchargediron                     |
| chlorine                           |       0 |         300 |      2250 |          0 | COMMON   |      true | immersiveintelligence:chlorine                     |
| chloroform                         |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:chloroform                          |
| chocolate_liquor                   |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_chocolate_liquor                |
| chromium                           |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenchromium                        |
| cloud_seed                         |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed                     |
| cloud_seed_concentrated            |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed_concentrated        |
| coal                               |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                                  |
| cobalt                             |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltencobalt                          |
| cocoa_butter                       |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_cocoa_butter                    |
| concentrated_ethanoic_acid         |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:concentrated_ethanoic_acid          |
| concentrated_hydrochloric_acid     |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:concentrated_hydrochloric_acid      |
| concentrated_hydrofluoric_acid     |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:concentrated_hydrofluoric_acid      |
| concentrated_nitric_acid           |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:concentrated_nitric_acid            |
| concentrated_sulfuric_acid         |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:concentrated_sulfuric_acid          |
| concentrated_sulfurous_acid        |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:concentrated_sulfurous_acid         |
| concrete                           |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete                 |
| condensate_water                   |    1000 |         300 |       850 |          0 | COMMON   |     false | nuclearcraft:fluid_condensate_water                |
| conductive_iron                    |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenconductiveiron                  |
| constantan                         |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenconstantan                      |
| construction_alloy                 |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltenconstructionalloy               |
| copper                             |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:copper                                      |
| copper_nak                         |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| copper_nak_hot                     |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| corium                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_corium                          |
| creeper_acid                       |     100 |         300 |      1000 |          0 | COMMON   |     false | techguns:block_creeper_acid                        |
| creosote                           |    1100 |         300 |      3000 |          0 | COMMON   |     false | immersiveengineering:fluidcreosote                 |
| crude_oil                          |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil                  |
| crude_steel                        |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltencrudesteel                      |
| cryotheum                          |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum                  |
| cryotheum_nak                      |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| cryotheum_nak_hot                  |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| crystalline_alloy                  |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltencrystallinealloy                |
| crystalline_pink_slime             |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltencrystallinepinkslime            |
| curium_243                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| curium_245                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| curium_246                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| curium_247                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| dark_chocolate                     |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_dark_chocolate                  |
| dark_steel                         |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | jaopca:fluid_moltendarksteel                       |
| dawnstone                          |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:dawnstone                                   |
| decane                             |     730 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:decane                              |
| decene                             |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:decene                              |
| depleted_hea_242                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hea_242_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hea_242_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heb_248                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heb_248_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heb_248_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecf_249                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecf_249_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecf_249_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecf_251                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecf_251_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecf_251_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_243                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_243_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_243_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_245                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_245_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_245_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_247                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_247_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hecm_247_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hen_236                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hen_236_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hen_236_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hep_239                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hep_239_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hep_239_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hep_241                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hep_241_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_hep_241_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heu_233                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heu_233_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heu_233_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heu_235                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heu_235_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_heu_235_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lea_242                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lea_242_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lea_242_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leb_248                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leb_248_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leb_248_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecf_249                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecf_249_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecf_249_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecf_251                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecf_251_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecf_251_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_243                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_243_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_243_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_245                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_245_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_245_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_247                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_247_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lecm_247_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_len_236                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_len_236_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_len_236_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lep_239                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lep_239_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lep_239_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lep_241                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lep_241_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_lep_241_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leu_233                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leu_233_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leu_233_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leu_235                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leu_235_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_leu_235_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_mix_239                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_mix_239_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_mix_239_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_mix_241                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_mix_241_fluoride          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_mix_241_fluoride_flibe    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_tbu                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_tbu_fluoride              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| depleted_tbu_fluoride_flibe        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| deuterium                          |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_deuterium                       |
| diamond                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                  |
| diamond_nak                        |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                                  |
| diamond_nak_hot                    |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                                  |
| diborane                           |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_diborane                        |
| diesel                             |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel                    |
| diluted_ethanoic_acid              |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:diluted_ethanoic_acid               |
| diluted_hydrochloric_acid          |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:diluted_hydrochloric_acid           |
| diluted_hydrofluoric_acid          |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:diluted_hydrofluoric_acid           |
| diluted_nitric_acid                |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:diluted_nitric_acid                 |
| diluted_sulfuric_acid              |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:diluted_sulfuric_acid               |
| diluted_sulfurous_acid             |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:diluted_sulfurous_acid              |
| distwater                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | immersivetech:fluiddistwater                       |
| duodecane                          |     749 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:duodecane                           |
| duodecene                          |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:duodecene                           |
| dwarven_ale                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.brine                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.chlorine               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleancopper            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleangold              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleaniron              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleanlead              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleanosmium            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleansilver            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.cleantin               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.copper                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.deuterium              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.ethene                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.fusionfuel             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.gold                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.hydrogen               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.hydrogenchloride       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.iron                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.lead                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.liquidosmium           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.lithium                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.osmium                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.oxygen                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.silver                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurryaluminium        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurryboron            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanaluminium   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanboron       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleancobalt      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleaniridium     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanlithium     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanmagnesium   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanmithril     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleannickel      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanplatinum    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanstygianiron |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanthorium     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleantitanium    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleantungsten    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanuranium     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycleanzinc        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrycobalt           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurryiridium          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrylithium          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrymagnesium        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrymithril          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrynickel           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurryplatinum         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrystygianiron      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrythorium          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrytitanium         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurrytungsten         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurryuranium          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.slurryzinc             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.sodium                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.sulfurdioxide          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.sulfuricacid           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.sulfurtrioxide         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.tin                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.tritium                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| ec.internal.water                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                  |
| egg_albumin                        |    1000 |         295 |      1000 |       1000 | COMMON   |     false | contenttweaker:egg_albumin                         |
