+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                              |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                      |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                    |
| *** ALSO ***                                                                                                                                                                                                                 |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                    |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                     |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                    |
+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
| Mod name                   | Registry name                             | Item ID | Meta/dmg | Subtypes | Display name                  | Hunger | Saturation | Ore Dict keys                                                 |
| Minecraft                  | minecraft:cooked_fish                     |     350 |        1 |     true | Cooked Salmon                 |      6 |        0.8 |                                                               |
| Minecraft                  | minecraft:cooked_mutton                   |     424 |        0 |    false | Cooked Mutton                 |      6 |        0.8 |                                                               |
| Minecraft                  | minecraft:cooked_porkchop                 |     320 |        0 |    false | Cooked Porkchop               |      8 |        0.8 |                                                               |
| Minecraft                  | minecraft:cooked_rabbit                   |     412 |        0 |    false | Cooked Rabbit                 |      5 |        0.6 |                                                               |
| Minecraft                  | minecraft:cookie                          |     357 |        0 |    false | Cookie                        |      2 |        0.1 |                                                               |
| Minecraft                  | minecraft:fish                            |     349 |        0 |     true | Raw Fish                      |      2 |        0.1 | listAllMeatRaw                                                |
| Minecraft                  | minecraft:fish                            |     349 |        1 |     true | Raw Salmon                    |      2 |        0.1 |                                                               |
| Minecraft                  | minecraft:fish                            |     349 |        2 |     true | Clownfish                     |      1 |        0.1 |                                                               |
| Minecraft                  | minecraft:fish                            |     349 |        3 |     true | Pufferfish                    |      1 |        0.1 |                                                               |
| Minecraft                  | minecraft:golden_apple                    |     322 |        0 |     true | Golden Apple                  |      4 |        1.2 |                                                               |
| Minecraft                  | minecraft:golden_apple                    |     322 |        1 |     true | Golden Apple                  |      4 |        1.2 |                                                               |
| Minecraft                  | minecraft:golden_carrot                   |     396 |        0 |    false | Golden Carrot                 |      6 |        1.2 |                                                               |
| Minecraft                  | minecraft:melon                           |     360 |        0 |    false | Melon                         |      2 |        0.3 |                                                               |
| Minecraft                  | minecraft:mushroom_stew                   |     282 |        0 |    false | Mushroom Stew                 |      6 |        0.6 |                                                               |
| Minecraft                  | minecraft:mutton                          |     423 |        0 |    false | Raw Mutton                    |      2 |        0.3 | listAllMeatRaw                                                |
| Minecraft                  | minecraft:poisonous_potato                |     394 |        0 |    false | Poisonous Potato              |      2 |        0.3 |                                                               |
| Minecraft                  | minecraft:porkchop                        |     319 |        0 |    false | Raw Porkchop                  |      3 |        0.3 | listAllMeatRaw                                                |
| Minecraft                  | minecraft:potato                          |     392 |        0 |    false | Potato                        |      1 |        0.3 | cropPotato                                                    |
| Minecraft                  | minecraft:pumpkin_pie                     |     400 |        0 |    false | Pumpkin Pie                   |      8 |        0.3 |                                                               |
| Minecraft                  | minecraft:rabbit                          |     411 |        0 |    false | Raw Rabbit                    |      3 |        0.3 | listAllMeatRaw                                                |
| Minecraft                  | minecraft:rabbit_stew                     |     413 |        0 |    false | Rabbit Stew                   |     10 |        0.6 |                                                               |
| Minecraft                  | minecraft:rotten_flesh                    |     367 |        0 |    false | Rotten Flesh                  |      4 |        0.1 |                                                               |
| Minecraft                  | minecraft:spider_eye                      |     375 |        0 |    false | Spider Eye                    |      2 |        0.8 |                                                               |
| NuclearCraft               | nuclearcraft:cocoa_butter                 |    4596 |        0 |    false | Solidified Cocoa Butter       |      2 |        0.2 | ingotCocoaButter                                              |
| NuclearCraft               | nuclearcraft:dark_chocolate               |    4599 |        0 |    false | Dark Chocolate                |      3 |        0.4 | ingotDarkChocolate                                            |
| NuclearCraft               | nuclearcraft:dominos                      |    4591 |        0 |    false | Domino's Special              |     16 |        1.8 | gearDominos                                                   |
| NuclearCraft               | nuclearcraft:foursmore                    |    4605 |        0 |    false | FourS'more QuadS'mingot       |     44 |        8.6 |                                                               |
| NuclearCraft               | nuclearcraft:graham_cracker               |    4593 |        0 |    false | Graham Cracker                |      1 |        0.2 |                                                               |
| NuclearCraft               | nuclearcraft:ground_cocoa_nibs            |    4595 |        0 |    false | Ground Cocoa Nibs             |      1 |        0.2 |                                                               |
| NuclearCraft               | nuclearcraft:marshmallow                  |    4602 |        0 |    false | Marshmallow                   |      1 |        0.4 | ingotMarshmallow                                              |
| NuclearCraft               | nuclearcraft:milk_chocolate               |    4600 |        0 |    false | Milk Chocolate                |      4 |        0.6 | foodChocolatebar,ingotChocolate                               |
| NuclearCraft               | nuclearcraft:moresmore                    |    4604 |        0 |    false | MoreS'more DoubleS'mingot     |     20 |        3.8 |                                                               |
| NuclearCraft               | nuclearcraft:smore                        |    4603 |        0 |    false | S'more S'mingot               |      8 |        1.4 |                                                               |
| NuclearCraft               | nuclearcraft:unsweetened_chocolate        |    4598 |        0 |    false | Unsweetened Chocolate         |      2 |        0.2 | ingotUnsweetenedChocolate                                     |
| Quantum Minecraft Dynamics | qmd:flesh                                 |    4857 |        0 |    false | Not So Rotten Flesh           |      4 |        0.1 |                                                               |
| Rustichromia               | rustichromia:cotton_candy                 |    8500 |        0 |    false | Cotton Candy                  |      4 |        2.0 |                                                               |
| Rustichromia               | rustichromia:cotton_candy_stick           |    8495 |        0 |    false | Cotton Candy on a Stick       |      6 |        1.6 |                                                               |
| Simply Tea                 | simplytea:cup_cocoa                       |    8585 |        0 |    false | Cup of Hot Chocolate          |      4 |        0.6 |                                                               |
| Simply Tea                 | simplytea:cup_tea_black                   |    8584 |        0 |    false | Cup of Black Tea              |      4 |        0.8 |                                                               |
| Simply Tea                 | simplytea:cup_tea_chai                    |    8588 |        0 |    false | Cup of Chai Tea               |      5 |        0.6 |                                                               |
| Simply Tea                 | simplytea:cup_tea_chorus                  |    8606 |        0 |    false | Cup of Chorus Tea             |      3 |        0.8 |                                                               |
| Simply Tea                 | simplytea:cup_tea_floral                  |    8607 |        0 |    false | Cup of Dandelion Tea          |      2 |        0.5 |                                                               |
| Simply Tea                 | simplytea:cup_tea_green                   |    8592 |        0 |    false | Cup of Green Tea              |      3 |        0.5 |                                                               |
+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
| Mod name                   | Registry name                             | Item ID | Meta/dmg | Subtypes | Display name                  | Hunger | Saturation | Ore Dict keys                                                 |
+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
